Project Name,Category,% of votes received,OP Received,Address
Protocol Guild,Infrastructure,5.5730,"557,301.00",0x0000000000000000000000000000000000000000
L2BEAT,Education,2.5629,"256,294.36",0x0000000000000000000000000000000000000001
geth,Infrastructure,2.3059,"230,590.08",0x0000000000000000000000000000000000000002
ETHGlobal,Education,2.3001,"230,005.52",0x0000000000000000000000000000000000000003
BuidlGuidl,Education,2.2417,"224,174.11",0x0000000000000000000000000000000000000004
Solidity,Infrastructure,2.1738,"217,383.16",0x0000000000000000000000000000000000000005
Ethers,Infrastructure,2.0914,"209,140.64",0x0000000000000000000000000000000000000006
0xPARC,Education,2.0605,"206,053.62",0x0000000000000000000000000000000000000007
EIP4844 collection,Infrastructure,1.9567,"195,674.82",0x0000000000000000000000000000000000000008
Monorepo dependencies collection,Infrastructure,1.8900,"188,999.93",0x0000000000000000000000000000000000000009
ZachXBT,Education,1.8857,"188,573.93",0x0000000000000000000000000000000000000010
OPCraft & MUD (Lattice),Infrastructure,1.8335,"183,348.21",0x0000000000000000000000000000000000000011
OpenZeppelin,Tooling and utilities,1.8176,"181,764.94",0x0000000000000000000000000000000000000012
DefiLlama,Tooling and utilities,1.7129,"171,292.71",0x0000000000000000000000000000000000000013
Lighthouse,Infrastructure,1.6546,"165,460.21",0x0000000000000000000000000000000000000014
wagmi,Tooling and utilities,1.5646,"156,463.05",0x0000000000000000000000000000000000000015
Remix Project,Tooling and utilities,1.5168,"151,676.14",0x0000000000000000000000000000000000000016
Gitcoin,Tooling and utilities,1.5149,"151,494.17",0x0000000000000000000000000000000000000017
Foundry,Tooling and utilities,1.4867,"148,672.83",0x0000000000000000000000000000000000000018
Snapshot,Tooling and utilities,1.4570,"145,698.50",0x0000000000000000000000000000000000000019
rotki,Tooling and utilities,1.4527,"145,272.64",0x0000000000000000000000000000000000000020
Goerli,Infrastructure,1.4351,"143,507.74",0x0000000000000000000000000000000000000021
Erigon,Infrastructure,1.4165,"141,650.27",0x0000000000000000000000000000000000000022
Nethermind,Infrastructure,1.3562,"135,623.67",0x0000000000000000000000000000000000000023
Vyper,Infrastructure,1.3523,"135,226.30",0x0000000000000000000000000000000000000024
Kernel,Education,1.3204,"132,035.12",0x0000000000000000000000000000000000000025
CryptoZombies,Education,1.3058,"130,577.81",0x0000000000000000000000000000000000000026
Giveth,Tooling and utilities,1.2981,"129,814.43",0x0000000000000000000000000000000000000027
Week in Ethereum News,Education,1.2170,"121,700.47",0x0000000000000000000000000000000000000028
Safe (previously Gnosis Safe),Infrastructure,1.1958,"119,584.01",0x0000000000000000000000000000000000000029
beaconcha.in,Infrastructure,1.0584,"105,836.75",0x0000000000000000000000000000000000000030
Agora,Tooling and utilities,1.0199,"101,992.05",0x0000000000000000000000000000000000000031
Polynya,Education,0.9882,"98,824.31",0x0000000000000000000000000000000000000032
Support NERDs collection,Education,0.9368,"93,683.95",0x0000000000000000000000000000000000000033
eth.limo,Tooling and utilities,0.9227,"92,270.33",0x0000000000000000000000000000000000000034
Synpress,Tooling and utilities,0.9189,"91,886.73",0x0000000000000000000000000000000000000035
Cannon,Tooling and utilities,0.9024,"90,241.42",0x0000000000000000000000000000000000000036
Translators collection,Education,0.8566,"85,657.06",0x0000000000000000000000000000000000000037
Nimbus,Infrastructure,0.8402,"84,018.23",0x0000000000000000000000000000000000000038
Lodestar,Infrastructure,0.7966,"79,662.51",0x0000000000000000000000000000000000000039
Teku,Infrastructure,0.7820,"78,199.65",0x0000000000000000000000000000000000000040
Revoke.cash,Tooling and utilities,0.7349,"73,489.50",0x0000000000000000000000000000000000000041
TrueBlocks,Infrastructure,0.7187,"71,866.56",0x0000000000000000000000000000000000000042
RadicalXChange,Education,0.7099,"70,988.29",0x0000000000000000000000000000000000000043
Otterscan,Infrastructure,0.6883,"68,834.84",0x0000000000000000000000000000000000000044
Blockscout,Tooling and utilities,0.6526,"65,259.35",0x0000000000000000000000000000000000000045
Where has the OP Gone?,Education,0.6506,"65,055.77",0x0000000000000000000000000000000000000046
Cryptocurrency and Friends,Education,0.6391,"63,907.22",0x0000000000000000000000000000000000000047
EthernautDAO,Education,0.6344,"63,437.90",0x0000000000000000000000000000000000000048
Keccak hashing,Infrastructure,0.6284,"62,838.16",0x0000000000000000000000000000000000000049
hardhat-deploy,Tooling and utilities,0.6265,"62,648.76",0x0000000000000000000000000000000000000050
Infinitism (ERC-4337) - Account Abstraction,Infrastructure,0.6133,"61,332.92",0x0000000000000000000000000000000000000051
Commons Stack,Tooling and utilities,0.6004,"60,038.39",0x0000000000000000000000000000000000000052
MerkleTreeJS,Infrastructure,0.5826,"58,260.33",0x0000000000000000000000000000000000000053
Pocket Network,Infrastructure,0.5818,"58,180.59",0x0000000000000000000000000000000000000054
Bankless Academy,Education,0.5807,"58,066.79",0x0000000000000000000000000000000000000055
TE Academy,Education,0.5756,"57,564.71",0x0000000000000000000000000000000000000056
Michael Vander Meiden,Education,0.5634,"56,339.40",0x0000000000000000000000000000000000000057
SEED LATAM (formerly DeFi LATAM),Education,0.5506,"55,061.82",0x0000000000000000000000000000000000000058
EIP-5164 / PoolTogether Inc,Tooling and utilities,0.5455,"54,551.25",0x0000000000000000000000000000000000000059
Optimism Ambassador collection,Education,0.5224,"52,240.79",0x0000000000000000000000000000000000000060
0xSplits,Tooling and utilities,0.5215,"52,154.24",0x0000000000000000000000000000000000000061
Guild,Tooling and utilities,0.5100,"51,001.26",0x0000000000000000000000000000000000000062
Chainlist,Tooling and utilities,0.4998,"49,979.68",0x0000000000000000000000000000000000000063
Hyperledger Besu,Tooling and utilities,0.4849,"48,486.28",0x0000000000000000000000000000000000000064
🐍 snekmate,Tooling and utilities,0.4808,"48,081.33",0x0000000000000000000000000000000000000065
Frame,Tooling and utilities,0.4783,"47,826.28",0x0000000000000000000000000000000000000066
Optimism en Español,Education,0.4599,"45,993.28",0x0000000000000000000000000000000000000067
IC3,Education,0.4535,"45,349.22",0x0000000000000000000000000000000000000068
Solady,Tooling and utilities,0.4502,"45,018.75",0x0000000000000000000000000000000000000069
TypeChain,Tooling and utilities,0.4494,"44,938.67",0x0000000000000000000000000000000000000070
Attestation Station Interface,Tooling and utilities,0.4434,"44,342.30",0x0000000000000000000000000000000000000071
Prettier Solidity,Tooling and utilities,0.4383,"43,833.72",0x0000000000000000000000000000000000000072
blst by Supranational,Infrastructure,0.4061,"40,614.00",0x0000000000000000000000000000000000000073
Flipside Crypto,Tooling and utilities,0.4008,"40,079.68",0x0000000000000000000000000000000000000074
Blobscan,Infrastructure,0.4001,"40,012.19",0x0000000000000000000000000000000000000075
Akula,Infrastructure,0.3966,"39,663.82",0x0000000000000000000000000000000000000076
Slither,Tooling and utilities,0.3893,"38,926.43",0x0000000000000000000000000000000000000077
Hop Protocol,Tooling and utilities,0.3860,"38,596.06",0x0000000000000000000000000000000000000078
CANDIDE Wallet,Tooling and utilities,0.3789,"37,888.81",0x0000000000000000000000000000000000000079
Umbra,Infrastructure,0.3418,"34,177.99",0x0000000000000000000000000000000000000080
Boardroom,Tooling and utilities,0.3248,"32,480.07",0x0000000000000000000000000000000000000081
diligit,Education,0.3148,"31,481.75",0x0000000000000000000000000000000000000082
hildobby's Dune dashboards,Education,0.3117,"31,170.72",0x0000000000000000000000000000000000000083
EthereumETL,Tooling and utilities,0.3104,"31,044.49",0x0000000000000000000000000000000000000084
Sourcify,Tooling and utilities,0.3074,"30,743.66",0x0000000000000000000000000000000000000085
Small Brain Games,Education,0.2826,"28,260.70",0x0000000000000000000000000000000000000086
ChugSplash,Tooling and utilities,0.2797,"27,967.65",0x0000000000000000000000000000000000000087
Zapper,Tooling and utilities,0.2779,"27,792.68",0x0000000000000000000000000000000000000088
Jrocki - YouTube & Podcast,Education,0.2761,"27,607.95",0x0000000000000000000000000000000000000089
BanklessDAO Projects,Education,0.2757,"27,567.62",0x0000000000000000000000000000000000000090
ITU Blockchain,Education,0.2645,"26,447.32",0x0000000000000000000000000000000000000091
Token Terminal,Infrastructure,0.2595,"25,954.85",0x0000000000000000000000000000000000000092
Layer 2 Landscape,Education,0.2541,"25,407.48",0x0000000000000000000000000000000000000093
H.E.R. DAO LATAM,Education,0.2488,"24,880.58",0x0000000000000000000000000000000000000094
Optimism DAppNode Package,Infrastructure,0.2470,"24,704.11",0x0000000000000000000000000000000000000095
Atlantis World,Education,0.2366,"23,656.03",0x0000000000000000000000000000000000000096
delegation.tools,Tooling and utilities,0.2364,"23,641.12",0x0000000000000000000000000000000000000097
Ipsilon,Infrastructure,0.2353,"23,531.25",0x0000000000000000000000000000000000000098
Solhint,Tooling and utilities,0.2297,"22,972.70",0x0000000000000000000000000000000000000099
Layer 2 Weekly Roundup,Education,0.2268,"22,678.04",0x0000000000000000000000000000000000000100
Dapp-Learning,Education,0.2163,"21,627.00",0x0000000000000000000000000000000000000101
NiceNode,Infrastructure,0.2152,"21,521.52",0x0000000000000000000000000000000000000102
Women Biz - Optimism education,Education,0.2107,"21,067.76",0x0000000000000000000000000000000000000103
thesleeper.eth Thai OP contents,Education,0.2038,"20,380.82",0x0000000000000000000000000000000000000104
Node Guardians,Education,0.2028,"20,278.03",0x0000000000000000000000000000000000000105
Web3j,Infrastructure,0.1979,"19,785.18",0x0000000000000000000000000000000000000106
WTF Academy,Education,0.1942,"19,419.09",0x0000000000000000000000000000000000000107
The Optimistic Series,Education,0.1921,"19,213.55",0x0000000000000000000000000000000000000108
Messari Protocol Services,Education,0.1909,"19,085.86",0x0000000000000000000000000000000000000109
Flexible Voting,Infrastructure,0.1906,"19,056.60",0x0000000000000000000000000000000000000110
JiffyScan,Tooling and utilities,0.1899,"18,994.87",0x0000000000000000000000000000000000000111
Multicall3,Tooling and utilities,0.1880,"18,798.99",0x0000000000000000000000000000000000000112
CryptoStats,Education,0.1855,"18,549.22",0x0000000000000000000000000000000000000113
⚡️TurboETH - Web3 Build System,Education,0.1827,"18,271.88",0x0000000000000000000000000000000000000114
Clique,Tooling and utilities,0.1803,"18,034.69",0x0000000000000000000000000000000000000115
Gelato,Infrastructure,0.1798,"17,983.16",0x0000000000000000000000000000000000000116
Fire,Tooling and utilities,0.1577,"15,774.28",0x0000000000000000000000000000000000000117
ETHEREUM MÉXICO,Education,0.1574,"15,736.37",0x0000000000000000000000000000000000000118
Proof of Integrity,Education,0.1573,"15,732.30",0x0000000000000000000000000000000000000119
Rollup Economics Dashboard,Education,0.1533,"15,329.31",0x0000000000000000000000000000000000000120
Optimism FM,Education,0.1521,"15,206.14",0x0000000000000000000000000000000000000121
Across Protocol,Tooling and utilities,0.1504,"15,038.62",0x0000000000000000000000000000000000000122
